file,characters,lines,quality
S001.txt,27508,262,strong
S002.txt,42825,2027,strong
S003.txt,8806,367,strong
S004.txt,68009,4144,strong
S005.txt,495,24,too_short_review
S006.txt,1831,50,usable
S007.txt,11467,104,strong
S008.txt,994,14,too_short_review
S009.txt,44896,517,strong
S010.txt,11493,620,strong
S011.txt,5039,106,strong
S012.txt,42630,623,strong
S013.txt,4822,82,usable
S014.txt,13169,135,strong
S015.txt,7447,138,strong
S016.txt,8830,118,strong
S017.txt,16398,947,strong
S018.txt,3565,73,usable
S019.txt,1224,33,too_short_review
S020.txt,3091,49,usable
