source_id,title,url,category,department,date_accessed,access_type,notes,characters,lines,quality,use_for_rag,public_github_note
S001,UIC Undergraduate Catalog - University Degree Requirements and Graduation,https://catalog.uic.edu/ucat/degree-programs/univ-degree-requirements-graduation/,Degree Requirements,UIC Catalog,2026-06-03,Public,University-level degree and graduation requirements,27508,262,strong,yes,metadata only; raw page text kept local
S002,UIC Undergraduate Catalog - Academic Standing,https://catalog.uic.edu/ucat/degree-programs/academic-standing/,Academic Standing,UIC Catalog,2026-06-03,Public,Academic standing and probation rules,42825,2027,strong,yes,metadata only; raw page text kept local
S003,UIC Undergraduate Catalog - Course Information,https://catalog.uic.edu/ucat/course-descriptions/,Course Information,UIC Catalog,2026-06-03,Public,Course descriptions and prerequisite information,8806,367,strong,yes,metadata only; raw page text kept local
S004,UIC Undergraduate Catalog - General Education,https://catalog.uic.edu/ucat/degree-programs/general-education/,General Education,UIC Catalog,2026-06-03,Public,General education requirements,68009,4144,strong,yes,metadata only; raw page text kept local
S005,UIC Registrar Calendars,https://registrar.uic.edu/current-students/calendars/,Registration Deadlines,Office of the Registrar,2026-06-03,Public,Academic calendar and registrar calendar links,495,24,too_short_review,review,metadata only; raw page text kept local
S006,UIC Admissions - Transferology Step By Step,https://admissions.uic.edu/uic-admissions/undergraduate/requirements-deadlines/transfer-requirements/transferology-step-step,Transfer Credit,UIC Admissions,2026-06-03,Public,Transferology instructions for checking how courses transfer to UIC,1831,50,usable,yes,metadata only; raw page text kept local
S007,UIC Office of International Services - Enrollment Requirements,https://ois.uic.edu/immigration/international-student-enrollment-requirements/,International Student Restrictions,Office of International Services,2026-06-03,Public,F-1 and J-1 enrollment requirements,11467,104,strong,yes,metadata only; raw page text kept local
S008,UIC Office of International Services - F-1 Leave of Absence,https://ois.uic.edu/immigration/f-1-student/f-1-leave-of-absence/,International Student Restrictions,Office of International Services,2026-06-03,Public,F-1 leave of absence and full-time enrollment maintenance information,994,14,too_short_review,review,metadata only; raw page text kept local
S009,UIC Catalog - College of Engineering,https://catalog.uic.edu/ucat/colleges-depts/engineering/,College Requirements,UIC Catalog,2026-06-03,Public,College of Engineering undergraduate requirements and policies,44896,517,strong,yes,metadata only; raw page text kept local
S010,UIC Catalog - BS in Computer Science,https://catalog.uic.edu/ucat/colleges-depts/engineering/cs/bs-cs/,Major Requirements,UIC Catalog,2026-06-03,Public,Official BS in Computer Science degree requirements,11493,620,strong,yes,metadata only; raw page text kept local
S011,UIC Admissions - Transfer Requirements,https://admissions.uic.edu/undergraduate/requirements-deadlines/transfer-requirements,Transfer Credit,UIC Admissions,2026-06-03,Public,Transfer admission requirements and transfer guide information,5039,106,strong,yes,metadata only; raw page text kept local
S012,UIC Registrar - Registration Policies and Procedures,https://registrar.uic.edu/registration/policies-procedures/,Registration,Office of the Registrar,2026-06-03,Public,Registration policies and procedures,42630,623,strong,yes,metadata only; raw page text kept local
S013,UIC Registrar - Graduation and Diplomas,https://registrar.uic.edu/student-records/graduation/,Graduation Requirements,Office of the Registrar,2026-06-03,Public,Graduation diploma and intent to graduate information,4822,82,usable,yes,metadata only; raw page text kept local
S014,UIC College of Engineering - Undergraduate Academic Advising,https://engineering.uic.edu/undergraduate/advising/,Academic Advising,College of Engineering,2026-06-03,Public,Engineering undergraduate advising information,13169,135,strong,yes,metadata only; raw page text kept local
S015,UIC Engineering - New Student Advising and Registration,https://engineering.uic.edu/undergraduate/nsadvising/,Academic Advising,College of Engineering,2026-06-03,Public,New student advising and registration information,7447,138,strong,yes,metadata only; raw page text kept local
S016,UIC Registrar - Registration FAQ,https://registrar.uic.edu/current-students/faq/,Registration,Office of the Registrar,2026-06-03,Public,Registrar frequently asked questions,8830,118,strong,yes,metadata only; raw page text kept local
S017,UIC Registrar - Advance Registration Time Ticket Schedule,https://registrar.uic.edu/current-students/calendars/time-ticket-schedule/,Registration Deadlines,Office of the Registrar,2026-06-03,Public,Advance registration time ticket schedule,16398,947,strong,yes,metadata only; raw page text kept local
S018,UIC Registrar - Term Withdrawal,https://registrar.uic.edu/registration/term-withdrawal/,Withdrawal,Office of the Registrar,2026-06-03,Public,Term withdrawal rules and process,3565,73,usable,yes,metadata only; raw page text kept local
S019,UIC Registrar - Withdrawal from the University,https://registrar.uic.edu/financial-matters/withdrawal/,Withdrawal,Office of the Registrar,2026-06-03,Public,University withdrawal rules and deadlines,1224,33,too_short_review,review,metadata only; raw page text kept local
S020,UIC Admissions - Credit by Examination,https://admissions.uic.edu/explore-uic/information-guidance-counselors/credit-examination,Credit by Examination,UIC Admissions,2026-06-03,Public,AP IB and examination credit information,3091,49,usable,yes,metadata only; raw page text kept local
